"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
2.5,2.5,0.5,1.7129e-36,-1.2247,1.2247,0
7.5,2.5,0.5,5.7202e-36,-1.2247,1.2247,0
12.5,2.5,0.5,1.481e-35,-1.2247,1.2247,0
17.5,2.5,0.5,3.876e-35,-1.2247,1.2247,0
22.5,2.5,0.5,9.9148e-35,-1.2247,1.2247,0
27.5,2.5,0.5,2.4888e-34,-1.2247,1.2247,0
32.5,2.5,0.5,6.1232e-34,-1.2247,1.2247,0
37.5,2.5,0.5,1.4759e-33,-1.2247,1.2247,0
42.5,2.5,0.5,3.483e-33,-1.2247,1.2247,0
47.5,2.5,0.5,8.0418e-33,-1.2247,1.2247,0
52.5,2.5,0.5,1.8154e-32,-1.2247,1.2247,0
57.5,2.5,0.5,4.0035e-32,-1.2247,1.2247,0
62.5,2.5,0.5,8.618e-32,-1.2247,1.2247,0
67.5,2.5,0.5,1.8091e-31,-1.2247,1.2247,0
72.5,2.5,0.5,3.6998e-31,-1.2247,1.2247,0
77.5,2.5,0.5,7.3629e-31,-1.2247,1.2247,0
82.5,2.5,0.5,1.424e-30,-1.2247,1.2247,0
87.5,2.5,0.5,2.673e-30,-1.2247,1.2247,0
92.5,2.5,0.5,4.8614e-30,-1.2247,1.2247,0
97.5,2.5,0.5,8.5511e-30,-1.2247,1.2247,0
102.5,2.5,0.5,1.4516e-29,-1.2247,1.2247,0
107.5,2.5,0.5,2.3722e-29,-1.2247,1.2247,0
112.5,2.5,0.5,3.7203e-29,-1.2247,1.2247,0
117.5,2.5,0.5,5.5885e-29,-1.2247,1.2247,0
122.5,2.5,0.5,7.5188e-29,-1.2247,1.2247,0
127.5,2.5,0.5,8.1661e-29,-1.2247,1.2247,0
132.5,2.5,0.5,8.2671e-29,-1.2247,1.2247,0
137.5,2.5,0.5,8.1739e-29,-1.2247,1.2247,0
142.5,2.5,0.5,7.6449e-29,-1.2247,1.2247,0
147.5,2.5,0.5,6.4064e-29,-1.2247,1.2247,0
152.5,2.5,0.5,4.3593e-29,-1.2247,1.2247,0
157.5,2.5,0.5,1.7727e-29,-1.2247,1.2247,0
162.5,2.5,0.5,4.9208e-30,-1.2247,1.2247,0
167.5,2.5,0.5,1.3352e-30,-1.2247,1.2247,0
172.5,2.5,0.5,3.3335e-31,-1.2247,1.2247,0
177.5,2.5,0.5,6.3046e-32,-1.2247,1.2247,0
182.5,2.5,0.5,-4.8775e-33,-1.2247,1.2247,0
187.5,2.5,0.5,-1.9209e-32,-1.2247,1.2247,0
192.5,2.5,0.5,-2.092e-32,-1.2247,1.2247,0
197.5,2.5,0.5,-1.8693e-32,-1.2247,1.2247,0
202.5,2.5,0.5,-9.656e-33,-1.2247,1.2247,0
207.5,2.5,0.5,-2.1796e-33,-1.2247,1.2247,0
212.5,2.5,0.5,-4.6436e-34,-1.2247,1.2247,0
217.5,2.5,0.5,-9.6116e-35,-1.2247,1.2247,0
222.5,2.5,0.5,-1.9078e-35,-1.2247,1.2247,0
227.5,2.5,0.5,-3.4924e-36,-1.2247,1.2247,0
232.5,2.5,0.5,-4.9487e-37,-1.2247,1.2247,0
237.5,2.5,0.5,2.4716e-38,-1.2247,1.2247,0
242.5,2.5,0.5,9.0015e-38,-1.2247,1.2247,0
247.5,2.5,0.5,8.4236e-38,-1.2247,1.2247,0
252.5,2.5,0.5,2.7044e-38,-1.2247,1.2247,0
257.5,2.5,0.5,3.9926e-39,-1.2247,1.2247,0
262.5,2.5,0.5,5.7042e-40,-1.2247,1.2247,0
267.5,2.5,0.5,7.261e-41,-1.2247,1.2247,0
272.5,2.5,0.5,5.5085e-42,-1.2247,1.2247,0
277.5,2.5,0.5,-1.9674e-42,-1.2247,1.2247,0
282.5,2.5,0.5,-2.2267e-42,-1.2247,1.2247,0
287.5,2.5,0.5,-6.446e-43,-1.2247,1.2247,0
292.5,2.5,0.5,-6.5861e-44,-1.2247,1.2247,0
297.5,2.5,0.5,-5.6052e-45,-1.2247,1.2247,0
302.5,2.5,0.5,-0,-1.2247,1.2247,0
307.5,2.5,0.5,0,-1.2247,1.2247,0
312.5,2.5,0.5,0,-1.2247,1.2247,0
317.5,2.5,0.5,0,-1.2247,1.2247,0
