"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
2.5,2.5,0.5,1.2792e-36,-1.2247,1.2247,0
7.5,2.5,0.5,4.2989e-36,-1.2247,1.2247,0
12.5,2.5,0.5,1.1212e-35,-1.2247,1.2247,0
17.5,2.5,0.5,2.9549e-35,-1.2247,1.2247,0
22.5,2.5,0.5,7.6127e-35,-1.2247,1.2247,0
27.5,2.5,0.5,1.9247e-34,-1.2247,1.2247,0
32.5,2.5,0.5,4.7702e-34,-1.2247,1.2247,0
37.5,2.5,0.5,1.1583e-33,-1.2247,1.2247,0
42.5,2.5,0.5,2.7541e-33,-1.2247,1.2247,0
47.5,2.5,0.5,6.4076e-33,-1.2247,1.2247,0
52.5,2.5,0.5,1.4577e-32,-1.2247,1.2247,0
57.5,2.5,0.5,3.2402e-32,-1.2247,1.2247,0
62.5,2.5,0.5,7.0315e-32,-1.2247,1.2247,0
67.5,2.5,0.5,1.4883e-31,-1.2247,1.2247,0
72.5,2.5,0.5,3.0695e-31,-1.2247,1.2247,0
77.5,2.5,0.5,6.1615e-31,-1.2247,1.2247,0
82.5,2.5,0.5,1.2023e-30,-1.2247,1.2247,0
87.5,2.5,0.5,2.2777e-30,-1.2247,1.2247,0
92.5,2.5,0.5,4.1822e-30,-1.2247,1.2247,0
97.5,2.5,0.5,7.4297e-30,-1.2247,1.2247,0
102.5,2.5,0.5,1.2744e-29,-1.2247,1.2247,0
107.5,2.5,0.5,2.1055e-29,-1.2247,1.2247,0
112.5,2.5,0.5,3.3406e-29,-1.2247,1.2247,0
117.5,2.5,0.5,5.0656e-29,-1.2247,1.2247,0
122.5,2.5,0.5,7.1702e-29,-1.2247,1.2247,0
127.5,2.5,0.5,8.101e-29,-1.2247,1.2247,0
132.5,2.5,0.5,8.2751e-29,-1.2247,1.2247,0
137.5,2.5,0.5,8.2393e-29,-1.2247,1.2247,0
142.5,2.5,0.5,7.8437e-29,-1.2247,1.2247,0
147.5,2.5,0.5,6.7892e-29,-1.2247,1.2247,0
152.5,2.5,0.5,4.9175e-29,-1.2247,1.2247,0
157.5,2.5,0.5,2.346e-29,-1.2247,1.2247,0
162.5,2.5,0.5,6.6581e-30,-1.2247,1.2247,0
167.5,2.5,0.5,1.8236e-30,-1.2247,1.2247,0
172.5,2.5,0.5,4.6702e-31,-1.2247,1.2247,0
177.5,2.5,0.5,9.7703e-32,-1.2247,1.2247,0
182.5,2.5,0.5,2.9957e-33,-1.2247,1.2247,0
187.5,2.5,0.5,-1.8085e-32,-1.2247,1.2247,0
192.5,2.5,0.5,-2.1134e-32,-1.2247,1.2247,0
197.5,2.5,0.5,-1.9945e-32,-1.2247,1.2247,0
202.5,2.5,0.5,-1.2216e-32,-1.2247,1.2247,0
207.5,2.5,0.5,-3.0652e-33,-1.2247,1.2247,0
212.5,2.5,0.5,-6.5352e-34,-1.2247,1.2247,0
217.5,2.5,0.5,-1.3593e-34,-1.2247,1.2247,0
222.5,2.5,0.5,-2.7197e-35,-1.2247,1.2247,0
227.5,2.5,0.5,-5.0771e-36,-1.2247,1.2247,0
232.5,2.5,0.5,-7.7991e-37,-1.2247,1.2247,0
237.5,2.5,0.5,-1.5652e-38,-1.2247,1.2247,0
242.5,2.5,0.5,9.026e-38,-1.2247,1.2247,0
247.5,2.5,0.5,9.1612e-38,-1.2247,1.2247,0
252.5,2.5,0.5,3.9308e-38,-1.2247,1.2247,0
257.5,2.5,0.5,5.8491e-39,-1.2247,1.2247,0
262.5,2.5,0.5,8.4276e-40,-1.2247,1.2247,0
267.5,2.5,0.5,1.0999e-40,-1.2247,1.2247,0
272.5,2.5,0.5,9.924e-42,-1.2247,1.2247,0
277.5,2.5,0.5,-1.746e-42,-1.2247,1.2247,0
282.5,2.5,0.5,-2.4313e-42,-1.2247,1.2247,0
287.5,2.5,0.5,-9.725e-43,-1.2247,1.2247,0
292.5,2.5,0.5,-9.9492e-44,-1.2247,1.2247,0
297.5,2.5,0.5,-9.8091e-45,-1.2247,1.2247,0
302.5,2.5,0.5,-0,-1.2247,1.2247,0
307.5,2.5,0.5,0,-1.2247,1.2247,0
312.5,2.5,0.5,0,-1.2247,1.2247,0
317.5,2.5,0.5,0,-1.2247,1.2247,0
322.5,2.5,0.5,0,-1.2247,1.2247,0
327.5,2.5,0.5,-0,-1.2247,1.2247,0
332.5,2.5,0.5,-0,-1.2247,1.2247,0
337.5,2.5,0.5,-0,-1.2247,1.2247,0
342.5,2.5,0.5,-0,-1.2247,1.2247,0
347.5,2.5,0.5,0,-1.2247,1.2247,0
352.5,2.5,0.5,0,-1.2247,1.2247,0
357.5,2.5,0.5,0,-1.2247,1.2247,0
362.5,2.5,0.5,0,-1.2247,1.2247,0
367.5,2.5,0.5,-0,-1.2247,1.2247,0
372.5,2.5,0.5,-0,-1.2247,1.2247,0
377.5,2.5,0.5,0,-1.2247,1.2247,0
382.5,2.5,0.5,0,-1.2247,1.2247,0
387.5,2.5,0.5,0,-1.2247,1.2247,0
392.5,2.5,0.5,-0,-1.2247,1.2247,0
397.5,2.5,0.5,-0,-1.2247,1.2247,0
402.5,2.5,0.5,0,-1.2247,1.2247,0
407.5,2.5,0.5,-0,-1.2247,1.2247,0
412.5,2.5,0.5,0,-1.2247,1.2247,0
417.5,2.5,0.5,-0,-1.2247,1.2247,0
422.5,2.5,0.5,0,-1.2247,1.2247,0
427.5,2.5,0.5,-0,-1.2247,1.2247,0
432.5,2.5,0.5,0,-1.2247,1.2247,0
437.5,2.5,0.5,-0,-1.2247,1.2247,0
442.5,2.5,0.5,0,-1.2247,1.2247,0
447.5,2.5,0.5,-0,-1.2247,1.2247,0
452.5,2.5,0.5,-0,-1.2247,1.2247,0
457.5,2.5,0.5,-0,-1.2247,1.2247,0
462.5,2.5,0.5,-0,-1.2247,1.2247,0
467.5,2.5,0.5,-0,-1.2247,1.2247,0
472.5,2.5,0.5,-0,-1.2247,1.2247,0
477.5,2.5,0.5,-0,-1.2247,1.2247,0
482.5,2.5,0.5,-0,-1.2247,1.2247,0
487.5,2.5,0.5,-0,-1.2247,1.2247,0
492.5,2.5,0.5,-0,-1.2247,1.2247,0
497.5,2.5,0.5,-0,-1.2247,1.2247,0
2.5,7.5,0.5,1.2781e-36,-1.2247,1.2247,0
7.5,7.5,0.5,4.2955e-36,-1.2247,1.2247,0
12.5,7.5,0.5,1.1204e-35,-1.2247,1.2247,0
17.5,7.5,0.5,2.9527e-35,-1.2247,1.2247,0
22.5,7.5,0.5,7.6074e-35,-1.2247,1.2247,0
27.5,7.5,0.5,1.9234e-34,-1.2247,1.2247,0
32.5,7.5,0.5,4.7671e-34,-1.2247,1.2247,0
37.5,7.5,0.5,1.1576e-33,-1.2247,1.2247,0
42.5,7.5,0.5,2.7525e-33,-1.2247,1.2247,0
47.5,7.5,0.5,6.404e-33,-1.2247,1.2247,0
