"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,-1.4013e-45,1.2247,1.2247,0
105,0,0,4.7644e-44,1.2247,1.2247,0
110,0,0,-1.3452e-42,1.2247,1.2247,0
115,0,0,3.4891e-41,1.2247,1.2247,0
120,0,0,-7.9977e-40,1.2247,1.2247,0
125,0,0,1.3725e-38,1.2247,1.2247,0
130,0,0,4.2657e-38,1.2247,1.2247,0
135,0,0,-4.3853e-37,1.2247,1.2247,0
140,0,0,-3.0788e-36,1.2247,1.2247,0
145,0,0,-4.7633e-37,1.2247,1.2247,0
150,0,0,1.193e-34,1.2247,1.2247,0
155,0,0,4.5549e-34,1.2247,1.2247,0
160,0,0,3.6253e-34,1.2247,1.2247,0
165,0,0,-4.6779e-33,1.2247,1.2247,0
170,0,0,-4.9107e-32,1.2247,1.2247,0
175,0,0,-1.3117e-31,1.2247,1.2247,0
180,0,0,-1.5251e-31,1.2247,1.2247,0
185,0,0,1.2246e-31,1.2247,1.2247,0
190,0,0,1.8625e-30,1.2247,1.2247,0
195,0,0,1.0297e-29,1.2247,1.2247,0
200,0,0,4.1022e-29,1.2247,1.2247,0
205,0,0,8.5868e-29,1.2247,1.2247,0
210,0,0,1.143e-28,1.2247,1.2247,0
215,0,0,1.2172e-28,1.2247,1.2247,0
220,0,0,1.1589e-28,1.2247,1.2247,0
225,0,0,8.9961e-29,1.2247,1.2247,0
230,0,0,5.3059e-29,1.2247,1.2247,0
235,0,0,2.6727e-29,1.2247,1.2247,0
240,0,0,1.2445e-29,1.2247,1.2247,0
245,0,0,5.3883e-30,1.2247,1.2247,0
250,0,0,2.184e-30,1.2247,1.2247,0
255,0,0,8.3312e-31,1.2247,1.2247,0
260,0,0,3.0046e-31,1.2247,1.2247,0
265,0,0,1.0283e-31,1.2247,1.2247,0
270,0,0,3.351e-32,1.2247,1.2247,0
275,0,0,1.0426e-32,1.2247,1.2247,0
280,0,0,3.1052e-33,1.2247,1.2247,0
285,0,0,8.8721e-34,1.2247,1.2247,0
290,0,0,2.4368e-34,1.2247,1.2247,0
295,0,0,6.4456e-35,1.2247,1.2247,0
300,0,0,1.6445e-35,1.2247,1.2247,0
305,0,0,4.0535e-36,1.2247,1.2247,0
310,0,0,9.6654e-37,1.2247,1.2247,0
315,0,0,2.2323e-37,1.2247,1.2247,0
320,0,0,4.9997e-38,1.2247,1.2247,0
325,0,0,1.0871e-38,1.2247,1.2247,0
330,0,0,2.297e-39,1.2247,1.2247,0
335,0,0,4.721e-40,1.2247,1.2247,0
340,0,0,9.4464e-41,1.2247,1.2247,0
345,0,0,1.8417e-41,1.2247,1.2247,0
350,0,0,3.5004e-42,1.2247,1.2247,0
355,0,0,6.502e-43,1.2247,1.2247,0
