"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,0,1.2247,1.2247,0
105,0,0,0,1.2247,1.2247,0
110,0,0,0,1.2247,1.2247,0
115,0,0,0,1.2247,1.2247,0
120,0,0,8.4078e-45,1.2247,1.2247,0
125,0,0,-4.2039e-45,1.2247,1.2247,0
130,0,0,-7.6511e-43,1.2247,1.2247,0
135,0,0,-1.4756e-42,1.2247,1.2247,0
140,0,0,1.8056e-41,1.2247,1.2247,0
145,0,0,1.824e-40,1.2247,1.2247,0
150,0,0,2.3779e-40,1.2247,1.2247,0
155,0,0,-3.1108e-39,1.2247,1.2247,0
160,0,0,-3.8246e-38,1.2247,1.2247,0
165,0,0,-7.6235e-38,1.2247,1.2247,0
170,0,0,8.4013e-38,1.2247,1.2247,0
175,0,0,2.3584e-36,1.2247,1.2247,0
180,0,0,1.8052e-35,1.2247,1.2247,0
185,0,0,3.6164e-35,1.2247,1.2247,0
190,0,0,1.5114e-35,1.2247,1.2247,0
195,0,0,-2.6568e-34,1.2247,1.2247,0
200,0,0,-2.3014e-33,1.2247,1.2247,0
205,0,0,-1.3898e-32,1.2247,1.2247,0
210,0,0,-3.2518e-32,1.2247,1.2247,0
215,0,0,-4.0151e-32,1.2247,1.2247,0
220,0,0,-1.6804e-32,1.2247,1.2247,0
225,0,0,1.349e-31,1.2247,1.2247,0
230,0,0,8.5369e-31,1.2247,1.2247,0
235,0,0,3.8518e-30,1.2247,1.2247,0
240,0,0,1.5727e-29,1.2247,1.2247,0
245,0,0,4.4706e-29,1.2247,1.2247,0
250,0,0,7.7297e-29,1.2247,1.2247,0
255,0,0,9.5838e-29,1.2247,1.2247,0
260,0,0,1.0203e-28,1.2247,1.2247,0
265,0,0,1.0115e-28,1.2247,1.2247,0
270,0,0,9.049e-29,1.2247,1.2247,0
275,0,0,6.5888e-29,1.2247,1.2247,0
280,0,0,3.9535e-29,1.2247,1.2247,0
285,0,0,2.2076e-29,1.2247,1.2247,0
290,0,0,1.1619e-29,1.2247,1.2247,0
295,0,0,5.7953e-30,1.2247,1.2247,0
300,0,0,2.7505e-30,1.2247,1.2247,0
305,0,0,1.2465e-30,1.2247,1.2247,0
310,0,0,5.4092e-31,1.2247,1.2247,0
315,0,0,2.2535e-31,1.2247,1.2247,0
320,0,0,9.0327e-32,1.2247,1.2247,0
325,0,0,3.4901e-32,1.2247,1.2247,0
330,0,0,1.3023e-32,1.2247,1.2247,0
335,0,0,4.6994e-33,1.2247,1.2247,0
340,0,0,1.6425e-33,1.2247,1.2247,0
345,0,0,5.567e-34,1.2247,1.2247,0
350,0,0,1.8319e-34,1.2247,1.2247,0
355,0,0,5.8591e-35,1.2247,1.2247,0
