"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,0,1.2247,1.2247,0
105,0,0,0,1.2247,1.2247,0
110,0,0,0,1.2247,1.2247,0
115,0,0,0,1.2247,1.2247,0
120,0,0,2.8026e-45,1.2247,1.2247,0
125,0,0,5.6052e-45,1.2247,1.2247,0
130,0,0,-7.2868e-44,1.2247,1.2247,0
135,0,0,-5.4931e-43,1.2247,1.2247,0
140,0,0,9.8091e-45,1.2247,1.2247,0
145,0,0,3.2661e-41,1.2247,1.2247,0
150,0,0,1.2398e-40,1.2247,1.2247,0
155,0,0,7.2461e-42,1.2247,1.2247,0
160,0,0,-3.7905e-39,1.2247,1.2247,0
165,0,0,-2.8322e-38,1.2247,1.2247,0
170,0,0,-4.6822e-38,1.2247,1.2247,0
175,0,0,1.0653e-37,1.2247,1.2247,0
180,0,0,1.9572e-36,1.2247,1.2247,0
185,0,0,1.3413e-35,1.2247,1.2247,0
190,0,0,2.5917e-35,1.2247,1.2247,0
195,0,0,1.1005e-35,1.2247,1.2247,0
200,0,0,-1.7703e-34,1.2247,1.2247,0
205,0,0,-1.5055e-33,1.2247,1.2247,0
210,0,0,-9.5264e-33,1.2247,1.2247,0
215,0,0,-2.5137e-32,1.2247,1.2247,0
220,0,0,-3.405e-32,1.2247,1.2247,0
225,0,0,-2.269e-32,1.2247,1.2247,0
230,0,0,6.2286e-32,1.2247,1.2247,0
235,0,0,4.7746e-31,1.2247,1.2247,0
240,0,0,2.229e-30,1.2247,1.2247,0
245,0,0,9.1336e-30,1.2247,1.2247,0
250,0,0,3.1375e-29,1.2247,1.2247,0
255,0,0,6.3965e-29,1.2247,1.2247,0
260,0,0,8.7954e-29,1.2247,1.2247,0
265,0,0,9.8364e-29,1.2247,1.2247,0
270,0,0,1.0026e-28,1.2247,1.2247,0
275,0,0,9.5783e-29,1.2247,1.2247,0
280,0,0,7.8022e-29,1.2247,1.2247,0
285,0,0,5.1372e-29,1.2247,1.2247,0
290,0,0,2.9956e-29,1.2247,1.2247,0
295,0,0,1.6485e-29,1.2247,1.2247,0
300,0,0,8.5921e-30,1.2247,1.2247,0
305,0,0,4.2594e-30,1.2247,1.2247,0
310,0,0,2.0157e-30,1.2247,1.2247,0
315,0,0,9.133e-31,1.2247,1.2247,0
320,0,0,3.9725e-31,1.2247,1.2247,0
325,0,0,1.6625e-31,1.2247,1.2247,0
330,0,0,6.7071e-32,1.2247,1.2247,0
335,0,0,2.6132e-32,1.2247,1.2247,0
340,0,0,9.8481e-33,1.2247,1.2247,0
345,0,0,3.5949e-33,1.2247,1.2247,0
350,0,0,1.2727e-33,1.2247,1.2247,0
355,0,0,4.3754e-34,1.2247,1.2247,0
