"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,-0,1.2247,1.2247,0
105,0,0,1.6816e-44,1.2247,1.2247,0
110,0,0,-4.9326e-43,1.2247,1.2247,0
115,0,0,1.2776e-41,1.2247,1.2247,0
120,0,0,-2.9142e-40,1.2247,1.2247,0
125,0,0,1.6193e-39,1.2247,1.2247,0
130,0,0,1.9341e-38,1.2247,1.2247,0
135,0,0,-3.0749e-38,1.2247,1.2247,0
140,0,0,-1.2531e-36,1.2247,1.2247,0
145,0,0,-2.2938e-36,1.2247,1.2247,0
150,0,0,1.5509e-35,1.2247,1.2247,0
155,0,0,1.9938e-34,1.2247,1.2247,0
160,0,0,3.9339e-34,1.2247,1.2247,0
165,0,0,-3.3963e-34,1.2247,1.2247,0
170,0,0,-9.3102e-33,1.2247,1.2247,0
175,0,0,-6.2198e-32,1.2247,1.2247,0
180,0,0,-1.2547e-31,1.2247,1.2247,0
185,0,0,-1.0603e-31,1.2247,1.2247,0
190,0,0,2.6038e-31,1.2247,1.2247,0
195,0,0,2.3423e-30,1.2247,1.2247,0
200,0,0,1.1975e-29,1.2247,1.2247,0
205,0,0,4.4008e-29,1.2247,1.2247,0
210,0,0,8.7091e-29,1.2247,1.2247,0
215,0,0,1.1249e-28,1.2247,1.2247,0
220,0,0,1.1896e-28,1.2247,1.2247,0
225,0,0,1.1334e-28,1.2247,1.2247,0
230,0,0,8.8636e-29,1.2247,1.2247,0
235,0,0,5.3104e-29,1.2247,1.2247,0
240,0,0,2.7275e-29,1.2247,1.2247,0
245,0,0,1.2985e-29,1.2247,1.2247,0
250,0,0,5.7621e-30,1.2247,1.2247,0
255,0,0,2.3984e-30,1.2247,1.2247,0
260,0,0,9.4128e-31,1.2247,1.2247,0
265,0,0,3.498e-31,1.2247,1.2247,0
270,0,0,1.2354e-31,1.2247,1.2247,0
275,0,0,4.1594e-32,1.2247,1.2247,0
280,0,0,1.3387e-32,1.2247,1.2247,0
285,0,0,4.1288e-33,1.2247,1.2247,0
290,0,0,1.2228e-33,1.2247,1.2247,0
295,0,0,3.4846e-34,1.2247,1.2247,0
300,0,0,9.5708e-35,1.2247,1.2247,0
305,0,0,2.5376e-35,1.2247,1.2247,0
310,0,0,6.5047e-36,1.2247,1.2247,0
315,0,0,1.614e-36,1.2247,1.2247,0
320,0,0,3.8817e-37,1.2247,1.2247,0
325,0,0,9.0584e-38,1.2247,1.2247,0
330,0,0,2.0533e-38,1.2247,1.2247,0
335,0,0,4.5251e-39,1.2247,1.2247,0
340,0,0,9.7052e-40,1.2247,1.2247,0
345,0,0,2.0274e-40,1.2247,1.2247,0
350,0,0,4.1285e-41,1.2247,1.2247,0
355,0,0,8.2004e-42,1.2247,1.2247,0
