"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,0,1.2247,1.2247,0
105,0,0,0,1.2247,1.2247,0
110,0,0,-4.2039e-45,1.2247,1.2247,0
115,0,0,1.079e-43,1.2247,1.2247,0
120,0,0,-9.5288e-44,1.2247,1.2247,0
125,0,0,-8.8016e-42,1.2247,1.2247,0
130,0,0,-5.7677e-42,1.2247,1.2247,0
135,0,0,6.1924e-40,1.2247,1.2247,0
140,0,0,1.5798e-39,1.2247,1.2247,0
145,0,0,-5.7415e-39,1.2247,1.2247,0
150,0,0,-1.3354e-37,1.2247,1.2247,0
155,0,0,-2.9562e-37,1.2247,1.2247,0
160,0,0,4.0127e-37,1.2247,1.2247,0
165,0,0,1.193e-35,1.2247,1.2247,0
170,0,0,6.2982e-35,1.2247,1.2247,0
175,0,0,9.6774e-35,1.2247,1.2247,0
180,0,0,-1.2278e-34,1.2247,1.2247,0
185,0,0,-2.1974e-33,1.2247,1.2247,0
190,0,0,-1.7007e-32,1.2247,1.2247,0
195,0,0,-4.7887e-32,1.2247,1.2247,0
200,0,0,-6.4748e-32,1.2247,1.2247,0
205,0,0,-2.6036e-32,1.2247,1.2247,0
210,0,0,2.461e-31,1.2247,1.2247,0
215,0,0,1.5842e-30,1.2247,1.2247,0
220,0,0,7.3076e-30,1.2247,1.2247,0
225,0,0,2.8676e-29,1.2247,1.2247,0
230,0,0,6.5075e-29,1.2247,1.2247,0
235,0,0,9.4538e-29,1.2247,1.2247,0
240,0,0,1.067e-28,1.2247,1.2247,0
245,0,0,1.0816e-28,1.2247,1.2247,0
250,0,0,1.0023e-28,1.2247,1.2247,0
255,0,0,7.5815e-29,1.2247,1.2247,0
260,0,0,4.5523e-29,1.2247,1.2247,0
265,0,0,2.4769e-29,1.2247,1.2247,0
270,0,0,1.2602e-29,1.2247,1.2247,0
275,0,0,6.0374e-30,1.2247,1.2247,0
280,0,0,2.7374e-30,1.2247,1.2247,0
285,0,0,1.1794e-30,1.2247,1.2247,0
290,0,0,4.8451e-31,1.2247,1.2247,0
295,0,0,1.9034e-31,1.2247,1.2247,0
300,0,0,7.1692e-32,1.2247,1.2247,0
305,0,0,2.5945e-32,1.2247,1.2247,0
310,0,0,9.0403e-33,1.2247,1.2247,0
315,0,0,3.0381e-33,1.2247,1.2247,0
320,0,0,9.8629e-34,1.2247,1.2247,0
325,0,0,3.0976e-34,1.2247,1.2247,0
330,0,0,9.4243e-35,1.2247,1.2247,0
335,0,0,2.7809e-35,1.2247,1.2247,0
340,0,0,7.9677e-36,1.2247,1.2247,0
345,0,0,2.2189e-36,1.2247,1.2247,0
350,0,0,6.0118e-37,1.2247,1.2247,0
355,0,0,1.5861e-37,1.2247,1.2247,0
