"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,0,1.2247,1.2247,0
105,0,0,0,1.2247,1.2247,0
110,0,0,0,1.2247,1.2247,0
115,0,0,0,1.2247,1.2247,0
120,0,0,1.121e-44,1.2247,1.2247,0
125,0,0,-1.5414e-44,1.2247,1.2247,0
130,0,0,-9.725e-43,1.2247,1.2247,0
135,0,0,-1.5989e-42,1.2247,1.2247,0
140,0,0,3.0295e-41,1.2247,1.2247,0
145,0,0,2.2604e-40,1.2247,1.2247,0
150,0,0,2.0558e-40,1.2247,1.2247,0
155,0,0,-5.1561e-39,1.2247,1.2247,0
160,0,0,-4.8021e-38,1.2247,1.2247,0
165,0,0,-8.4327e-38,1.2247,1.2247,0
170,0,0,1.8613e-37,1.2247,1.2247,0
175,0,0,3.6892e-36,1.2247,1.2247,0
180,0,0,2.2597e-35,1.2247,1.2247,0
185,0,0,3.9876e-35,1.2247,1.2247,0
190,0,0,-3.728e-37,1.2247,1.2247,0
195,0,0,-4.2481e-34,1.2247,1.2247,0
200,0,0,-3.4222e-33,1.2247,1.2247,0
205,0,0,-1.795e-32,1.2247,1.2247,0
210,0,0,-3.6557e-32,1.2247,1.2247,0
215,0,0,-4.0111e-32,1.2247,1.2247,0
220,0,0,-2.972e-33,1.2247,1.2247,0
225,0,0,2.1604e-31,1.2247,1.2247,0
230,0,0,1.2212e-30,1.2247,1.2247,0
235,0,0,5.3517e-30,1.2247,1.2247,0
240,0,0,2.1276e-29,1.2247,1.2247,0
245,0,0,5.2929e-29,1.2247,1.2247,0
250,0,0,8.3265e-29,1.2247,1.2247,0
255,0,0,9.8574e-29,1.2247,1.2247,0
260,0,0,1.0273e-28,1.2247,1.2247,0
265,0,0,1.0019e-28,1.2247,1.2247,0
270,0,0,8.5581e-29,1.2247,1.2247,0
275,0,0,5.8871e-29,1.2247,1.2247,0
280,0,0,3.4374e-29,1.2247,1.2247,0
285,0,0,1.8841e-29,1.2247,1.2247,0
290,0,0,9.7503e-30,1.2247,1.2247,0
295,0,0,4.7858e-30,1.2247,1.2247,0
300,0,0,2.2367e-30,1.2247,1.2247,0
305,0,0,9.9866e-31,1.2247,1.2247,0
310,0,0,4.2718e-31,1.2247,1.2247,0
315,0,0,1.7549e-31,1.2247,1.2247,0
320,0,0,6.9383e-32,1.2247,1.2247,0
325,0,0,2.6452e-32,1.2247,1.2247,0
330,0,0,9.7408e-33,1.2247,1.2247,0
335,0,0,3.47e-33,1.2247,1.2247,0
340,0,0,1.1974e-33,1.2247,1.2247,0
345,0,0,4.0079e-34,1.2247,1.2247,0
350,0,0,1.3026e-34,1.2247,1.2247,0
355,0,0,4.1155e-35,1.2247,1.2247,0
