"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,0,1.2247,1.2247,0
105,0,0,0,1.2247,1.2247,0
110,0,0,0,1.2247,1.2247,0
115,0,0,0,1.2247,1.2247,0
120,0,0,0,1.2247,1.2247,0
125,0,0,0,1.2247,1.2247,0
130,0,0,0,1.2247,1.2247,0
135,0,0,-5.6052e-45,1.2247,1.2247,0
140,0,0,-8.2677e-44,1.2247,1.2247,0
145,0,0,-1.2612e-43,1.2247,1.2247,0
150,0,0,1.6017e-42,1.2247,1.2247,0
155,0,0,2.0644e-41,1.2247,1.2247,0
160,0,0,3.8352e-41,1.2247,1.2247,0
165,0,0,-1.1562e-40,1.2247,1.2247,0
170,0,0,-2.5786e-39,1.2247,1.2247,0
175,0,0,-1.2076e-38,1.2247,1.2247,0
180,0,0,-1.6164e-38,1.2247,1.2247,0
185,0,0,5.4438e-38,1.2247,1.2247,0
190,0,0,7.9404e-37,1.2247,1.2247,0
195,0,0,5.7868e-36,1.2247,1.2247,0
200,0,0,1.2376e-35,1.2247,1.2247,0
205,0,0,9.9546e-36,1.2247,1.2247,0
210,0,0,-4.3613e-35,1.2247,1.2247,0
215,0,0,-4.2331e-34,1.2247,1.2247,0
220,0,0,-2.7231e-33,1.2247,1.2247,0
225,0,0,-1.1783e-32,1.2247,1.2247,0
230,0,0,-2.206e-32,1.2247,1.2247,0
235,0,0,-2.3804e-32,1.2247,1.2247,0
240,0,0,-7.1928e-33,1.2247,1.2247,0
245,0,0,8.8264e-32,1.2247,1.2247,0
250,0,0,5.1616e-31,1.2247,1.2247,0
255,0,0,2.2417e-30,1.2247,1.2247,0
260,0,0,8.8572e-30,1.2247,1.2247,0
265,0,0,2.9687e-29,1.2247,1.2247,0
270,0,0,6.012e-29,1.2247,1.2247,0
275,0,0,8.3044e-29,1.2247,1.2247,0
280,0,0,9.376e-29,1.2247,1.2247,0
285,0,0,9.6353e-29,1.2247,1.2247,0
290,0,0,9.3784e-29,1.2247,1.2247,0
295,0,0,8.0636e-29,1.2247,1.2247,0
300,0,0,5.6777e-29,1.2247,1.2247,0
305,0,0,3.452e-29,1.2247,1.2247,0
310,0,0,1.9832e-29,1.2247,1.2247,0
315,0,0,1.0818e-29,1.2247,1.2247,0
320,0,0,5.6253e-30,1.2247,1.2247,0
325,0,0,2.7976e-30,1.2247,1.2247,0
330,0,0,1.3346e-30,1.2247,1.2247,0
335,0,0,6.1217e-31,1.2247,1.2247,0
340,0,0,2.706e-31,1.2247,1.2247,0
345,0,0,1.1549e-31,1.2247,1.2247,0
350,0,0,4.7663e-32,1.2247,1.2247,0
355,0,0,1.9052e-32,1.2247,1.2247,0
360,0,0,7.3861e-33,1.2247,1.2247,0
