"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,0,1.2247,1.2247,0
90,0,0,0,1.2247,1.2247,0
95,0,0,0,1.2247,1.2247,0
100,0,0,0,1.2247,1.2247,0
105,0,0,0,1.2247,1.2247,0
110,0,0,0,1.2247,1.2247,0
115,0,0,0,1.2247,1.2247,0
120,0,0,0,1.2247,1.2247,0
125,0,0,0,1.2247,1.2247,0
130,0,0,0,1.2247,1.2247,0
135,0,0,0,1.2247,1.2247,0
140,0,0,0,1.2247,1.2247,0
145,0,0,0,1.2247,1.2247,0
150,0,0,-1.4013e-45,1.2247,1.2247,0
155,0,0,-7.0065e-45,1.2247,1.2247,0
160,0,0,-5.6052e-45,1.2247,1.2247,0
165,0,0,1.2331e-43,1.2247,1.2247,0
170,0,0,1.7054e-42,1.2247,1.2247,0
175,0,0,3.8872e-42,1.2247,1.2247,0
180,0,0,-1.093e-42,1.2247,1.2247,0
185,0,0,-8.763e-41,1.2247,1.2247,0
190,0,0,-9.8066e-40,1.2247,1.2247,0
195,0,0,-2.6211e-39,1.2247,1.2247,0
200,0,0,-2.3108e-39,1.2247,1.2247,0
205,0,0,1.4206e-38,1.2247,1.2247,0
210,0,0,1.5985e-37,1.2247,1.2247,0
215,0,0,1.245e-36,1.2247,1.2247,0
220,0,0,3.3737e-36,1.2247,1.2247,0
225,0,0,4.231e-36,1.2247,1.2247,0
230,0,0,-1.3538e-36,1.2247,1.2247,0
235,0,0,-4.3506e-35,1.2247,1.2247,0
240,0,0,-2.9274e-34,1.2247,1.2247,0
245,0,0,-1.6447e-33,1.2247,1.2247,0
250,0,0,-6.6685e-33,1.2247,1.2247,0
255,0,0,-1.2527e-32,1.2247,1.2247,0
260,0,0,-1.4171e-32,1.2247,1.2247,0
265,0,0,-8.8672e-33,1.2247,1.2247,0
270,0,0,2.312e-32,1.2247,1.2247,0
275,0,0,1.664e-31,1.2247,1.2247,0
280,0,0,7.3825e-31,1.2247,1.2247,0
285,0,0,2.8959e-30,1.2247,1.2247,0
290,0,0,1.0854e-29,1.2247,1.2247,0
295,0,0,3.2134e-29,1.2247,1.2247,0
300,0,0,5.9353e-29,1.2247,1.2247,0
305,0,0,7.8382e-29,1.2247,1.2247,0
310,0,0,8.7636e-29,1.2247,1.2247,0
315,0,0,9.0165e-29,1.2247,1.2247,0
320,0,0,8.8746e-29,1.2247,1.2247,0
325,0,0,7.9736e-29,1.2247,1.2247,0
330,0,0,5.9938e-29,1.2247,1.2247,0
335,0,0,3.8558e-29,1.2247,1.2247,0
340,0,0,2.3439e-29,1.2247,1.2247,0
345,0,0,1.3583e-29,1.2247,1.2247,0
350,0,0,7.5331e-30,1.2247,1.2247,0
355,0,0,4.0104e-30,1.2247,1.2247,0
360,0,0,2.0547e-30,1.2247,1.2247,0
365,0,0,1.0154e-30,1.2247,1.2247,0
